"","URI"
"7287","https://agriculture.ld.admin.ch/plant-protection/Acaricide"
"7282","https://agriculture.ld.admin.ch/plant-protection/Fungicide"
"7283","https://agriculture.ld.admin.ch/plant-protection/Herbicide"
"7284","https://agriculture.ld.admin.ch/plant-protection/Insecticide"
"7305","https://agriculture.ld.admin.ch/plant-protection/AdhesionAgents"
"7292","https://agriculture.ld.admin.ch/plant-protection/Desinfectant"
"7293","https://agriculture.ld.admin.ch/plant-protection/Nematicide"
"7294","https://agriculture.ld.admin.ch/plant-protection/Bactericide"
"7307","https://agriculture.ld.admin.ch/plant-protection/Rodenticide"
"7289","https://agriculture.ld.admin.ch/plant-protection/StorageProtectors"
"7286","https://agriculture.ld.admin.ch/plant-protection/SeedDressing"
"7295","https://agriculture.ld.admin.ch/plant-protection/WoundClosureAgent"
"7291","https://agriculture.ld.admin.ch/plant-protection/Phytoregulator"
"7311","https://agriculture.ld.admin.ch/plant-protection/Molluscicide"
"7296","https://agriculture.ld.admin.ch/plant-protection/SoapProduct"
"7314","https://agriculture.ld.admin.ch/plant-protection/NaturalDefenseStimulator"
"7300","https://agriculture.ld.admin.ch/plant-protection/Pheromone"
"7288","https://agriculture.ld.admin.ch/plant-protection/WildlifeDeterrent"
"13139","https://agriculture.ld.admin.ch/plant-protection/Viricide"
"7313","https://agriculture.ld.admin.ch/plant-protection/BCAFungi"
"7315","https://agriculture.ld.admin.ch/plant-protection/BCABacteria"
"7299","https://agriculture.ld.admin.ch/plant-protection/BCAInsectViruses"
"7290","https://agriculture.ld.admin.ch/plant-protection/BCAMites"
"7308","https://agriculture.ld.admin.ch/plant-protection/BCAInsects"
"7298","https://agriculture.ld.admin.ch/plant-protection/BCANematodes"
"7285","https://agriculture.ld.admin.ch/plant-protection/BCAAgainstFungi"
